,corrected
173,"التخصص في المستقبل . أرغب في التخصص بالدراسات الإسلامية ؛ لأن أنا مسلمة . قال رسول - الله صلى الله - عليه وسلم : "" طلب العلم واجب على كل مسلم ومسلمة "" . أحب أن أكون مدرسة . عندما كنت صغيرة أحببت طريقة التدريس التي كانت بها أستاذتي تشرح لي أشياء جديدة . ما كنت أعلم أن هذا يسرني جدا . وأمة المسلمين تحتاج إلى علماء حتى تنشر الدين الإسلامي في قارة من ، العالم . بالنسبة لي لا يوجد أي أحد من أهلي يساعدني أو أستفيده منه ، لكن يوجد الأستاذات ، والمعلمات ، والكتب ، والمواقع ، إن شاء الله سأستفيد منهم . كانت أسرتي تشجعني على هذا التخصص ، وصديقتي كانت كل يوم تشجعني بالدعوة ، إلى الإسلام ، والأمر بالمعروف والنهي عن المنكر . ، علي أن أتعلم علم القرآن الكريم : والأحاديث النبوي النبوية والكتب الديني ، ، الدينية الفقه ، وسيرة والسيرة والتاريخ وتاريخ والمرسلين والعلماء السابقين ."
174,أرغب التخصص - إن شاء - الله ؛ بالدراسات الإسلامية لأنها ، مفيدة لمصلحتي ( ؛ ) وأسرتي خاصة في بلدنا الفلبين لأنهم محتاجون للدعاة الذين يدعون إلى سبيل ؛ الله ، ، ، . قد اخترت هذا التخصص المفيد ليستفاد منه ونفسي وأهلي والناس أجمعين . سوف أعرف أحكام الإسلام والعلوم الدينية ، : في هذا ، التخصص . هناك ممن حولي متخصصون في ( هذا التخصص مثل أساتذتي . في بلدنا وهم الدعاة ، وخاصة الدكتورات في هذه الجامعة الأميرة بنت عبد الرحمن ، ) قد لاحظت أن بعض الأشخاص الذين يأخذون التخصصات الدينية أرى فيهم ؛ نور الإيمان على وجههم أسأل الله أن أكون معهم . ، لا يوجد من تشجيع لي إلا نفسي لأنني أصلا أريد أن أدرس العلوم الدينية ، وعندما أتعلم ، قليلا ستزيد محبة أو الرغبة في هذا التخصص ؛ لأنه كلما أدرس بعض المعلومات سأعرف أن ، الإسلام نعمة عظيمة فلابد أن . أعبد الله وحده لا شريك له . فيه إحدى ، أستاذاتي في دورة اسمها دكتورة لؤلؤة وعندما سمعت كلامها سأتذكر يوم القيامة ألا وإن هذا من علامات صحبة الخير . الله يحفظها ولمن تقرأ هنا .
175,دراستي في المملكة . لي سنة واحدة في المملكة العربية ، السعودية وفي معهد اللغة العربية بجامعة أم القرى   ، أتعلم اللغة العربية والدروس الإسلامية . وأسأل الله أن يوفقني في هذه المهمة لأكون داعية في بلدي ومدرسا للغة العربية . وأرغب في دراستي أن أحصل على معلومات كافية عن الشريعة الإسلامية إلى جانب ، ، أحكام الفقه والعبادة وفقه المعاملات ، وإلى جانب التوحيد والعقيدة الصحيحة ، عقيدة السلف الصالح . وأسأل الله أسئل أن يفتح لي ولنا جميعا فتوح العارفين  لمعرفة كل ما يجب وما لا يجب عن الإسلام .
176,رحلة إلى المدينة . أقام المعهد رحلة إلى ، المدينة ففتح التسجيل لمن أراد أن يشترك في ، هذه الرحلة وكنت من المشتركين . في هذه الرحلة وكانت ، الحافلة ستتحرك بعد الظهر فاجتمع الطلاب وركبوا ، الحافلة على . في أثناء الطريق كان المشرف هذه الرحلة ، أرشدنا بأن نلتزم بالإرشادات التي أرشدنا إليها وأن نقسم العدد ، إلى ثلاثة ، أقسام : قسم أعد الطعام والمأكولات وقسم ، أعد السكن وقسم أعد ، البرامج . ، . وعندما ، وصلنا إلى المدينة جهزنا ما - نحتاجه من تجهيز - ومن ، إعداد للسكن وغيرها في ، الصباح قمنا بزيارة المسجد النبوي ، وقبر الرسول صلى الله عليه وسلم صلينا فيه وفي ليلتها ذهبنا إلى الاستراحة وقمنا بالبرامج التي جهزناها في الحافلة وفي الصباح عدنا إلى السكن .
177,أولا : أستمع إلى المحاضرات أو النصائح ، أو أقرأ القرآن الكريم في المسجد في شهر رمضان ، أعمل مع الوالد أو الإخوان .
178,1 - التخصص الذي أرغب في دراسته هو تعلم لغة القرآن ودراسة الشرعية لكي أدعو الناس إلى الإسلام في بلدي . 2 - لأني أريد أن أدعو الناس إلى الإسلام ، وأشرح لهم الإسلام الصحيح . 3 - نعم ، أستفيد من . أستاذاتي 4 - نعم ، أسرتي وأستاذاتي .
179,رحلتي إلى منطقة القصيم في ا الفصل ضي الماضي م . أقام ا لطلا نادي إ لى الطلاب فسجلت ا رحلة قا إلى غبين مدينة ها ، ب . اسمي ت صبا قائمة م الراغبين بعا للذهاب و بعد صلا ، فاستعددت مواقف السيارات صباح باس يوم عدت الأربعاء وصلنا ، في مدينة وبعد وفي ، صلاة بعد الفطورأول ، الزيارة قمنا ، بها هي زيا ، رة الباص اليدوية ثم . عدة إلى زيارة المصانع ، .
180,اللغة العربية . تعلم اللغة العربية واجب على كل مسلم ومسلمة لكي يعرفا الشريعة ويؤديا واجباتهما . اللغة العربية هي لغة القرآن ، أنزل - - الله تعالى القرآن الكريم بلسان عربي مبين ، - وقد بينه الرسول - صلى الله عليه وسلم باللغة العربية ، فيجب علينا ، أن - نفهم ما - في القرآن وحديث النبي صلى الله وسلم وأن ، نتبع الإسلام اتباعا صحيحا . وفي هذه الأيام لا يهتم كثير من الناس بتعلم اللغة العربية . وقد تمنيت . أن أدرس اللغة العربية لأعرف القرآن ولأدرس  المسلمين وقد بدأت دراسة اللغة العربية ، قبل ست سنوات مبتدئا ، ودرستها في بلدي في الابتدائي واستمررت فيها في ، الجامعة خارج هذا البلد منذ ، سنة . اللغة العربية سهلة التعلم والتعليم وأتمنى أن أختار التخصص فيما بعد هذه المرحلة التي أنا فيها الآن ، وسأدرس هذه اللغة حتى أفهم كلام الله فهما صحيحا . - وبعدما أنتهي من - هذه الدراسة سأرجع إلى بلدي وسأقوم بتدريس هذه اللغة لجميع المسلمين إن شاء الله تعالى .
181,أنا أريد أن أتعلم اللغة العربية لأفهم القرآن الكريم ، والحديث ، الشريف . والعلوم الدينية لا أستطيع ؛ أن ألتحق بالجامعة لأني سأرجع إلى بلدي . وأنا ، ، - أريد أن - أساعد أهلي وأقربائي وأصدقائي إن شاء الله .
182,( الرحلة إلى أماكن التجول التايلاندية ) . إن الله خلق كل ، شيء الذي نراه والذي ، لم نره ويخلق شيئا لكي نفكر في عظمته . ونشكر الله كثيرا الذي هدانا لهذا الدين ، ونستطيع أن ، نستفيد : منه كثيرا والبعض منها ، نعرف كيف نعيش ، بهذا الدين ونعرف من خلق هذا ولماذا يخلق كل شيء لكي نتأمل ، فيه ؟ والحمد لله ، أنا تايلاندي وتجولت في بلدان أخرى كثيرة منها : إندونيسيا ، ماليزيا ، وكمبوديا ، ومومباي ، ولكني أريد أن أقدم لكم ،  رحلتي في تايلاندا . منذ سبع سنوات كنت مع أسرتي ، في رحلة إلى العاصمة والشمال التايلاندي في إحدى الإجازات ونحن نسكن ، في جنوب تايلاند . ونحن في سافرنا بالسيارة : إلى العاصمة أولا منه ، وقضينا هناك أسبوعا كاملا ، وتجولنا بعض الأماكن منها مكان . مجمع ، الناس الذين يشترون كان ، الأشياء وتجولنا أن أيضا في مدينة الحيوانات الكبرى ، وتجولنا أن في سفاري بارك وفي آخره وفي العاصمة كان الازدحام شديدا المكان . قريبا ولكن نستطيع نمشي أسرع من السيارة بسبب الازدحام . وبعد قضينا  الرحلة في العاصمة ، مشينا ، إلى الشمال التايلاندي هناك كانت ، الجبال إلى كثيرة وجميلة الشمال بسبب الأشجار الكثيرة . خرجنا من العاصمة أننا ووصلنا إلى الشمال بعد خمس عشرة ساعة وتجولنا في بعض الجبال العالية في ، الجال العالية في . هناك وصعدنا ، أيضا الجبال الأعلى في . التايلاندي ، . كان الجو هناك ، باردا جدا حتى لا نحس بشيء عندما نضع أيدينا في النار . وهناك الجبال توجد قبائل كثيرة ومختلفة وبعد ثلاث أيام رجعنا إلى الجنوب وبه بيتنا والحمد لله استفدنا كثيرا من تلك الرحلة والحمد لله على نعمة الإسلام .
183,الرحلة إلى بلدي . بعد انتهاء ، الاختبارات سافرت إلى بلدي مع زملائي صالح ، ، رمضان وجمعة . ، قبل الرحلة ، اشترينا بعض الاءشياء . الأشياء هدايا للأسرة والأصدقاء
184,اهتماماتي الدراسية والتخصص الذي أحبه . بعدما تخرجت من معهد اللغة العربية قبل ، سنة في كنت أفكر أني في أريد أن ؛ أدرس كلية في الدعوة الإسلامية لأني سمعت أن هذه الكلية الدراسة ليست صعبة . وأيضا صديقي الذي أسكن ، معه في سكن الطلاب في العوالي كان يدرس في ، هذه الكلية أيضا . وفي إحدى  الأيام قد تغيرت فكرتي قد تغيرت بعدما سمعت  أحد بل الدكاترة ، يقول : حياتنا ليست متعلقة  بأحد ، متعلقة كانوا بأنفسنا لو هي يهتمون بهذه العلاقة سيجدون النجاح في حياتهم ولكن لو لا يعرفون كيف خطتهم لن ينجحوا في الحياة . وبعد ذلك ، أفكر في حياتي كيف ستكون في المستقبل ؟ وأفكر أن أسرتي وولايتي تحتاجان إلى داعية ومع ذلك يعرف : الاقتصاد الإسلامي ؛ لأن أبي يعمل في المصرف الإسلامي . وأفكر في اختيارين إما كلية الدعوة أو كلية ، صلاة الاقتصاد الإسلامية ، وحتى الآن لا أعرف أي واحد سأختار ، ، وإن شاء الله سأصلي استخارة لكي أستطيع أن أختار أحسن ، شيء في الدراسة . وطبعا ، لو اخترت واحدا منهما لا بد أن أهتم بالدراسة ، حتى أفهم الدرس ، الله جيدا وأكون رجلا ممتازا ، في الدنيا والآخرة والحمد لله الذي إختارني  أن أكون في مكة وأسكن في أرض الحرم أسأل أن يسهل لي في الدراسة أمين يا رب .
185,رحلة ممتعة . أقبلت العطلة ، الصيفية وقابلت ، زميلي عمر واتفقنا على إقامة رحلة إلى بكين في نهاية هذا الأسبوع . هذا وقد ، أعددنا لوازم السفر وأخذنا الكاميرا . والأفلام لنأخذ صورا ، جميلة سافرنا إلى . بكين بالقطار وكان القطار مزدحما جدا أصعب الصعوبات التي . ، واجهتنا هي البحث ، عن ، المسجد والمطعم الإسلامي أخيرا وجدنا أشهر المساجد . في بكين ، مسجد نيوجيه إنه مسجد قديم وحوله توجد المطاعم الإسلامية بعد تناول ، الطعام زرنا معالم مدينة . بكين ، ، وبعض اثارها آثارها لا سيما . الابراطري الإمبراطوري وسور الصين إنهما من علامات الثقافة الصينية في فهي ، المساء . رجعنا وتمت رحلتنا تماما بتوفيق الله قد وقد من هذه الرحلة فوائد استفادات منها : العلوم مهمة لكل الناس
186,حججت في هذا العام مع زوجي ، وكنا في مجموعة من روسيا . لما أخبرني زوجي أخبرني أننا ، سنحج ، فرحت جدا وبدأت التخطيط للحج . درسنا في ، معهد ، ، ، أحكام الحج من أركان ، وواجبات ومبطلات وكنت مستعدة . أثناء ، الحج سألني الحجاج كثيرا عن الحج والأحكام الشرعية وكنت أجيبهم بسرور . أعجبني يوم عرفة . ، يوم ، جميل جدا ، فيه نسائم دينية ، ونفحات إيمانية والكل قريب من الله ، والناس الموحد موحدون التكافل الإجتماعي الاجتماعي وما واجهت ؛ الصعوبات صعوبات الحج ،  أن الانقال الانتقال صعب صعبا لأني مرضت في نهاية الحج .
187,1 - هذه الرحلة كانت في ذي الحجة 1434 هـ . 2 - من مكة إلى ، ، . منى ومزدلفة وعرفة وذهب معي ابني عمار وزوجي محمد ياسر . 3 - وحدة الأمة ، : لسانهم وألوانهم مختلفة ولكن . لباسهم وقولهم واحد في الحج : 4 - الصعوبات التي واجهتها هي التعب ، المشقة ، المشي على الأقدام .
188,رحلة إلى واغادوغو دوغو . في اليوم السابع من شهر رمضان ، الماضي سافرت إلى واغادوغو عاصمة بوركينا فاسو لزيارة ، زملائي هناك فلما ، وصلت بحمد الله استقبلوني استقبالا حسنا . وأضافوني ، ضيافة مشكورة فقبل وقبل استعددت اسعدادا ، استعدادا يجنبني ، بات الصعوبات ت الإخوة ووجدت بشيئ ، لتحققت ولو ما جئت بشيء ، ، حيث أن رغباتي اهتموا ، مع بىاهتماماحسنا فبحمدالله لم أواجه ، بي اهتماما حسنا فبحمد الله هناك ، فحدث أية ، وسألت . عن فتحدثت ، ، هناك ، ثم ، حملونى فى السيارة وزاروامعىالأماكن ، حملوني في وأساتذتهم ، . وزاروا معي الأماكن الجميلة والمساجد البارزة في البلد هناك الكبار تمت تخطيطاتى فاستأذنت فالحمد لله وودعتهم تخطيطاتي على حسن ضيافتهم شاكرا لهم  فىذالك السفر والحمد لله
189,حياتي  الدراسية . تخرجت من مرحلة البكالوريوس في عام 2008 م . في تخصصت ، إدارة الطيران ثم عملت في طيران الخليج في في مطار ؛ بانكوك تايلاند لمدة قصيرة لأنني حصلت على ، منحة للدراسة في جامعة قطر في برنامج اللغة العربية لغير الناطقين بها لمدة سنة واحدة ، وقد حصلت على منحة للدراسة اللغة الإندونيسية بجامعة كدجة مادا في ولاية بول جاكرتا لمدة ، ستة أشهر . رجعت إلى تايلاند وأدرس في جامعة راجابات سوان سميت ، ( بانكوك ) في مادة إدارة الطيران وفي ذلك الوقت درست ماجستير في تخصص إدارة الأعمال . ؛ وحصلت على منحة للدراسة في جامعة أم القرى لذلك أوقفت عملي ودراستي في تايلاند وجئت إلى مكة . لكي أدرس ، في معهد التعليم ، اللغة العربية للناطقين بغيرها وإن شاء الله سأكون مدرسا في بلدي وأيضا سأستعد لمرحلة الدكتوراه في المستقبل .
190,رحلتي إلى حديقة الحيوانات بانجمينا ( تشاد ) . الحمد لله ، ، والصلاة والسلام على ، رسول الله . وعلى آله وصحبه وبعد ، فما أن تنتهي الامتحانات في المدارس والجامعات  وتبدأ الإجازة الصيفية  حتى تبدأ الشكوى من الطلاب من أوقات الفراغ التي تمثل ، عند الطلبة مشكلة حقيقية ومن أعراض هذه المشكلة الملل والحيرة لذلك يسعون وراء ما ؛ ينشطهم ويشغلهم في هذا الوقت مما أدى مكتب الأنشطة الطلابية إلى زيارة حديقة الحيوانات التي أصبحت بمقدور الزوار والمصطافين فيها في مدينة انجمينا ، بتشاد أن يجدوا متنزها ومتنفسا لهم ولأطفالهم وأن تشاركهم لحظات الدهشة والاستكشاف بين الحيوانات المفترسة والأليفة حتى وإن كانت على ، صورة مصغرة ، ففي حديقة انجمينا ، الواحة للحيوانات والتي أصبحت محل جذب واهتمام للزوار والمصطافين وذلك لما تتضمنه من حيوانات وطيور من مناطق متعددة من العالم فضلا عن أنها أول حديقة تنشأ بمجهودات حكومية بالتشاد ، . ، ، وقد احتوت هذه الحديقة ، ، ، على حيوانات مفترسة ، مثل الأسد واللبوة ، ، . والثعاليب والضباع والتماسيح إضافة إلى بعض الحيوانات والزواحف والأسماك وأنواع أخرى مثل ، الغزلان وبعض الأنواع من النعام والخيول والدواجن كما أنهم يسعون إلى جلب عدد كبير . من الحيوانات الأخرى مثل الفيل والزرافة ، ولكنهم عللوا تأخر جلبها ، إلى عدم وجود أماكن ترتاح فيها هذه الحيوانات لضيق الموقع الحالي كما تحتوي هذه الحديقة على مسرح للطفل وبعض المحلات لبيع الملابس التشادية وبعض الألعاب الترفيهية ، للأطفال . وتحظى في الحديقة - باهتمام كبير من - قبل الزوار والمصطافين الذين يتوافدون على المنطقة قرب الكاميرون . والله لقد أبديت إعجابي وسعادتي بهذه الحديقة وأتمنى أن أقوم بزيارتها الأعوام القادمة إن شاء الله تعالى .
191,سافرت إلى بلادي لقضاء الإجازة ! وكان هذا السفر في شهر مايو ، معي صديقي اسمه سعد ، طالب في الجامعة الإسلامية  . سافرت معه في طائرة واحدة ، ومكثنا في الرحلة إلى تسع ساعات حتى وصلنا إلى منطقة شمال الفلبين . وبعد أن مكثنا في شمال الفلبين يوما ، رجعنا إلى الجنوب بالطائرة مرة أخرى .
192,رحلة إلى المدينة . عندما كنت أدرس في المستوى ، الأول قد فكرت في زيارة ، المسجد النبوي ولما جاءت الإجازة بين الفصلين ، اتفقت مع الأصدقاء التايلانديين لكي نزور  المسجد النبوي ، . بعد الامتحان رجعنا إلى سكن الطلاب ، لكي نعد الأشياء المهمة بعضها الملابس كان ، والدواء . . ذهبنا بسيارة الإيجار عددنا خمسة أشخاص ، وقد استرحنا ، في محطة البترول مرة كي ؛ نتعشى وندخل دورة المياه ونشرب بمفرده الشاي حتى لا نشعر بالنوم لأننا لا ، نريد أن نترك السائق . لما وصلنا إلى المدينة شعرنا بالبرد جدا الجو هناك مختلف عن مكة المكرمة ، . استرحنا - في فندق بجوار ، - المسجد ، النبوي ، وذهبنا إلى ، المسجد ، لصلاة الفجر وزرنا سيدنا محمد صلى الله ، عليه وسلم ومقبرة بقيع الغرقد ثم تنقلنا إلى . جبل ، أحد ومقبرة الشهداء وبعض المزارع ، ثم صلينا في مسجد القباء وزرنا أصدقاءنا الذين يدرسون في الجامعة الإسلامية بالمدينة المنورة قضينا يومين ثم رجعنا إلى مكة واعتمرنا معا .
193,العودة من العطلة الصيفية . في اليوم الرابع من شهر شوال اتصلت بصديقي الذي سافرت معه إلى الفلبين في بداية العطلة الصيفية : قائلا هل سنسافر بعد غد ؟ أي يوم الأربعاء  كما في الحجز ؟  ألا نؤجل السفر : ؟ قلت باعتبار أن الدراسة ستبدأ بعد : أسبوعين ؟ فقال لا . لا . بل ، سنسافر إن شاء الله فقلت له : حسنا نسافر إن شاء الله . وفي الليل أخبرت أمي وإخوتي ، بأني : سأغادر  يوم الأربعاء فقالت متعجبة ما أسرع الوقت ! قضيت ، ثلاثة أشهر تقريبا وكأننا لم نشعر بها معتقدين أن السفر سيكون  يوم الأربعاء . ثم في الصباح سمعت رأيا آخر وهو أن أغادر في ذلك اليوم وهو يوم الثلاثاء ولذلك لأني خفت ؛ من أن لا أصل إلى المطار صباح ، الأربعاء لأن الريح شديدة وبيننا وبين المطار مسافة بعيدة ولابد أيضا من ركوب البحر ، وكذلك لما اتصلت ، بصديقي أخبرني أنه قد ذهب إلى المدينة التي فيها المطار وبالفعل غادرت البلد ذلك اليوم بعد أن أخبرني أهلي بتعجيل سفري .
194,وفي اليوم الثاني قمنا من الليل وصلينا صلاة الفجر جماعة ثم تناولنا وجبة الفطور ، وذهبنا إلى قرية التراث وتجولنا حول قرية التراث ، والمتحف الذي كان في قرية التراث ، وتناولنا وجبة الغداء في مطعم قرية التراث ، وصلينا صلاة الظهر والعصر جمعا وقصرا ، ثم رجعنا من قرية التراث إلى السكن . وصلينا صلاة المغرب ، ثم ذهبنا إلى شاطئ البحر ومشينا حوله قليلا ، وذقنا ماء البحر ، وجدنا أن ماء البحر كان مالحا . وصلينا صلاة العشاء ، ثم تناولنا وجبة العشاء وبعد قليل رجعنا إلى السكن . وفي اليوم الثالث صلينا صلاة الفجر ثم استعددنا لصلاة الجمعة ، وصلينا صلاة الجمعة في إحدى المحطات ، ثم ركبنا ، الحافلة قبل وصولنا إلى الرياض تناولنا وجبة الغداء ، ثم وصلنا إلى الرياض ، بالأمن والسلامة ما واجهنا أي حادثة واستفدنا كثيرا من هذه الرحلة .
195,رحلة دعوية . في الخامسة عشر من عمري ، خرجت مع عمي وزملائه لرحلة دعوية في القرى المجاورة لبلدي خلال ستة أيام . استأنفنا الرحلة صباح يوم الأحد ، بعد تناول الفطور  جهزنا راحلتنا ، وأقدمنا على السير واستغرق السير ثلاث ساعات حتى بلغنا القرية الأولى ، وحين نزولنا  باشرنا بزيارة الإمام ، فرحب بنا  وطلب منا الأخبار ، فتولى زميل لعمي الكلام ، فحمد الله وأثنى عليه ، ثم بين أهدافنا  وأشار إلى أننا ما جئنا لنكون حملا على أحد ، لذا فإن مقرنا هو المسجد ، ومضيفنا هو الإمام ، ولكن ليس عليه أي تكلفة ، من مأكل ولا مشرب ، فإننا قد جهزنا كل شيء قبل المجيء ، وكذلك ستكون جميع مشاويرنا . فأراد الإمام أن يعترض على هذا الرأي ، ولكن أصررنا على موقفنا ، فقبل ذلك ، وتقدم معنا لنزور أعيان القرية ، من الباشا إلى رئيس الشباب ، ثم رجعنا إلى المسجد الذي كان مقرنا ، فتشاورنا عن كيفية إجراء البرامج وعينا رئيسا ، للمجلس فتم في هذه المشاورة عدة أمور هي : أ - إقامة ثلاث محاضرات في كل قرية ، اثنتين بعد العشاء ، وواحدة بعد الفجر .
196,وصلى الله على نبينا محمد صلى الله عليه وسلم .
197,كليتي وتخصصي . لقد قمت بتفكير طويل حول هذا الموضوع منذ  فجر طفولتي ، وكنت في : أتساءل نفسي أي كلية تريد ؟ أن تلتحق بها وأي تخصص ستواصل فيه مسيرتك العلمية ليساعدك في مسيرتك العملية ؟ وحق لهذه الفكرة أن تكون في عقل كل ذي لب يهمه تقدم المجتمع ، لأن الإنسان إذا نجح في اختيار الكلية المناسبة والتخصص الموافق قد ينجح في حياة الدارين . وقد تبين لي أن ألتحق بكلية الشريعة لو قدر لي الالتحاق بالجامعة ؛ لأن ، كلية الشريعة أم الكليات ففيها تدرس اللغة والاقتصاد . . . إضافة إلى هذا حاجة البلاد والعباد إلى الشرعيين الذين يوضحون لهم سنة الرسول صلى الله عليه وسلم ومنهج الأئمة السلف الأمة ، ، يقومون بوعظ الناس وإرشادهم ، وتعليم الناس الدين الصحيح والعقيدة السليمة عقيدة أهل السنة والجماعة . ، وبالإضافة أيضا : تشجيع بعض المدرسين لي وتشجيع بعض الزملاء أيضا بمشاركتي ، فيها إن شاء الله . فهذا بالنسبة للكلية أما بالنسبة للتخصص فالتخصص المفضل لدي أصول الفقه ؛ لأن هذا التخصص يجمع كل ، التحصصات تخصصات . وهذا التخصص يأتيك القواعد بالقواعد ويعلمك المجمل من المفصل . ، لا : يستغنى يستغني الأصول أي أصول الفقه . ، لذلك كل أصولي فقيه وليس كل فقيه أصولي .
198,ومن الطريف أن كاتماندو مليئة بالجبال الشامخة ، وهي تقع بنفسها على ، الجبال وسكانها مشابهون للصينيين ، وأقمنا بها ثلاثة أيام تقريبا ، وفي هذه الأيام شاهدنا ، المطار ، الدولي وحديقة ، الحيوانات والقصور القديمة التذكارية والأنهار العميقة ، بعدها رجعنا إلى البيت . استفدنا من هذه الرحلة كثيرا من الأشياء النبيلة .
199,"بدأت بالخطى في مساري ، مساري الذي أحب ، فوجدت كما وجدت من قبل ، أن تفكيري  مرارا وتكرارا لم يذهب سدا , ، من صعوبة بعض المناهج التي أدرسها تصبح سهلة علي بسبب حبي لها , ، ولقيت من أصحابي الذين وافقوني أيضا , ارسلوا ، أرسلوا من الشكر و العرفان والعرفان تلك قبل أربعة أعوام , أربعة أعوام ، و ها أنا وها يوم التخرج , كانت تجربة رائعة ، , حصلت بعدها على ، أريد , الوظيفة التي أحب ، ترقيت بعدها ترقية تلو ترقية , إلى أن أصبحت ، , صحيح أنني وزير ، لكني أحب ما أنا عامل به . "
200,بسم الله الرحمن الرحيم ، التخصص الذي أرغب في مستقبل أيامي هو علوم الشريعة نحو أصول الفقه ومصطلح الحديث والعقيدة . بدأت  أفكر في اختيار تخصصي في بداية الدراسة في معهد لتعليم اللغة العربية ، فكم من زملائي يدرسون في كليات مختلفة : من يدرس في كلية ، الشريعة ومن يدرس في كلية ، أصول الدين ومن منهم في كلية الدعوة . فبدأت أفكر أي كلية أختار أنا ؟ وما الكلية الأحسن والأفضل ؟ ولم زملائي اختاروا كلياتهم ؟ ذهبت إلى زملائي  القدامى والجدد في تخصصهم ، بعد حوار ، مع كل واحد قام : بين يدي . اختيارين أصول الدين والشريعة وكل واحد كان يثني على تخصصه . ولكن أنا عرفت منهم أن في أصول ، الدين لا يوجد أصول الفقه وبعض المواد الأخرى ، التي أنا لم أتعلمها من قبل والتي هي أحتاج إليها شديدا كثيرا فقررت بالشريعة التي معروفة بعلمائها وأبنائها الذين إنتشروا انتشروا البلاد كالدعاة والعلماء والقضاء والقضاة فالمسلمون يحتاجون إليهم . ولكن مع ذلك فهمت أن لأجانب الأجانب جاءو جاؤوا البلاد بلاد غير العربية لن تكفي يكتفوا بتخصص سواء كان هي هو أو أصول الدين ونحوها . وكلنا نحتاج إلى كل العلوم ، وأولها اللغة العربية لنفهم بعد ذلك علوم العلوم وهي وسيلة والمفتاح ومفتاح .
201,ما واجهت في هذه الرحلة أي صعوبة . نعم سارت الرحلة كما خطط لها في البداية . ليس هناك أحداث أخرى بارزة لازلت كى  .
202,والسلام عليكم .
203,"الرحلة إلى مكة للعمرة . بسم الله الرحمن الرحيم ، الحمد لله رب العالمين الذي خلق الإنسان والجن ليعبدوه كما قال الله تعالى "" وما خلقت الجن والإنس إلا ليعبدون "" وبعد : أبدأ كلامي الله بشكر الذي جعلني من المسلمين . الرحلة إلى مكة للعمرة ، لأعبد الله الذي خلقني ، من الرياض إلى مكة ، بدأت الرحلة من الرياض إلى مكة في الساعة الرابعة مساء ، وصلت إلى مكان المسجد الحرام ، وبعد ذلك نحن الذين كنا في الحافلة نقول : سبحان الله ، والحمد لله الله أكبر الله أكبر ولا حول ولا قوة إلا بالله العلي العظيم حتى وصلنا إلى مكة ، وصلنا إلى مكة في الصباح الساعة الرابعة  وخمس عشرة دقيقة صباحا ، أول شيء  ، فعلناه هو الطواف ذهبنا جميعا إلى الكعبة للطواف ، الصعوبة التي واجهتنا هي السيارة لأن السيارة لا تسير مسرعة وكنا متعبين تعبا شديدا . كما قال مقبل ، لما وصلنا إلى الكعبة فيه بدأنا الطواف الذي نقول : لبيك اللهم لبيك ، ، لبيك لا شريك لك لبيك إن الحمد . والنعمة لك والملك لا شريك لك حتى فعلنا هذه سبعة أشواط ، وبعد ذلك أدينا ركعتين في مكان يسمى مقام إبراهيم ، بسورة الكافرون بعد الفاتحة في الركعة الأولى وفي الركعة الثانية لتبديل ، سورة الإخلاص تبديل بعد الفاتحة . وبعد ذلك ذهبنا الزي بعدما انتهينا من الزي  جلسنا ندعو الله  أن يتقبل منا عبادة الله ."
204,وكانت الرحلة ممتازة واستفدنا كثيرا ، وشارك معنا في هذه الرحلة السعيدة عشرة أشخاص .
205,رحلتي إلى اسطنبول . عندما انتهت الدراسة في معهد تعليم اللغة العربية سافر أكثر الطلاب إلى ، بلدانهم أنا أيضا مثلهم رجعت إلى ، بلدي أذربيجان لكني في الرجوع أخذت لأنه رحلة إلى تركيا لا توجد ، طائرة مباشرة إلى بلدي ونحن نسافر إلى اسطنبول عن طريق خطوط تركيا بسبب العلاقات ، الجيدة بين بلدي وبين تركيا لا إلى توجد تأشيرة أي لا يطلبونها للدخول تركيا . وأنا استفدت من هذه الفرصة ، وذهبت إلى اسطنبول . في المطار قابلني صديقي من اسطنبول الذي يدرس معي في معهد تعليم ، اللغة العربية بجامعة الإمام محمد بن سعود هو الآن في قسم العلوم اللغوية والدينية بالمستوى الثاني : اسمه عبد الله ونحن الطلاب نناديه تركي . بعد أخذ أغراضنا خرجنا من المطار وأخذنا المترو باص ( من المواصلات الجديدة في في اسطنبول ) وذهبنا إلى بيت ، الطلاب الذين يدرسون مدرسة لتعليم اللغة العربية والعلوم الدينية  مكثت هناك حوالي أسبوعا أن ضيفا . كان بعض الطلاب في السكن من بلدي حتى أحدهم كان زميلي في بلدي . كان الطلاب يعيشون بالمتعاونة بالتعاون شاهدت فيهم الأخوة والصداقة .
